                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3914,                 3.4704,                 3.4787,                 1.2604,                0.08933,                0.37119,                0.06135,                0.02658,                  0.092,                0.38227,                0.06363,                0.02357,                 1.9839,                 2.3277,                 3.3611,                0.96301,                0.00026,                0.00026,                0.00026
                      2,                 1.8854,                 2.4611,                 2.9844,                 1.0099,                  0.148,                0.61496,                0.12189,                0.05255,                0.15467,                0.64266,                0.12981,                0.05474,                 1.7362,                 1.9003,                  3.401,                0.96147,             0.00053999,             0.00053999,             0.00053999
                      3,                 1.9409,                 2.1628,                 2.4207,                0.99267,                  0.156,                 0.6482,                0.13663,                0.06186,                0.17267,                0.71745,                0.16931,                 0.0791,                  1.582,                 1.9198,                 3.3372,                0.92147,             0.00081991,             0.00081991,             0.00081991
                      4,                  1.954,                 2.1532,                 1.8698,                0.98047,                0.16467,                0.68421,                0.17281,                 0.0698,                0.17733,                0.73684,                0.18504,                0.07433,                 1.7213,                 1.8797,                 3.3057,                0.92551,              0.0010997,              0.0010997,              0.0010997
                      5,                 1.9339,                 2.3441,                 1.5346,                0.98005,                0.16733,                0.69529,                0.23851,                0.09678,                0.17267,                0.71745,                0.24391,                0.10253,                 1.6914,                 1.9508,                 3.2115,                0.92749,              0.0013794,              0.0013794,              0.0013794
                      6,                 2.0009,                 2.8746,                 1.4248,                 1.0063,                   0.13,                0.54017,                0.22074,                 0.0853,                0.13867,                0.57618,                0.23268,                0.08821,                 1.7316,                  3.234,                 3.1533,                0.94935,              0.0016589,              0.0016589,              0.0016589
                      7,                 1.9834,                 2.9375,                 1.4107,                 0.9977,                0.15933,                0.66205,                0.42281,                0.16524,                0.15667,                0.65097,                0.41194,                 0.1504,                  1.763,                 3.1069,                 2.8864,                0.94093,              0.0019381,              0.0019381,              0.0019381
                      8,                 2.0204,                 2.4725,                 1.4321,                 1.0187,                0.77988,                0.38504,                0.61258,                 0.2564,                0.81793,                0.39822,                0.65884,                 0.3096,                 1.8983,                 2.0765,                 2.2101,                 1.0084,              0.0019973,              0.0019973,              0.0019973
                      9,                  2.128,                 2.5617,                 1.4045,                 1.0475,                0.70133,                0.47091,                0.56068,                0.20215,                0.65395,                0.43449,                0.47741,                0.15176,                 2.2351,                 3.3954,                 1.8396,                 1.0801,              0.0019965,              0.0019965,              0.0019965
                     10,                 2.0982,                 2.3973,                 1.3736,                 1.0391,                0.51366,                0.32768,                0.40202,                0.21019,                0.47096,                0.31071,                0.34038,                0.11914,                 1.8263,                 4.5135,                 1.7656,                 1.0844,              0.0019956,              0.0019956,              0.0019956
                     11,                 1.9575,                 2.3651,                 1.3457,                 1.0522,                0.14066,                0.27147,                0.11773,                0.05549,                0.13883,                0.28809,                0.12285,                  0.072,                 2.3477,                 5.1776,                 3.8095,                 1.3131,              0.0019946,              0.0019946,              0.0019946
                     12,                 2.1909,                 2.3113,                 1.3018,                 1.0747,                0.00867,                0.03601,                0.00449,                0.00292,                  0.008,                0.03324,                0.00414,                0.00277,                 1.7802,                 5.0097,                 13.138,                 1.0212,              0.0019934,              0.0019934,              0.0019934
