                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1267,                 4.4464,                 3.5916,                 1.4108,                0.01667,                 0.0641,                  0.009,                0.00345,                0.02167,                0.08333,                0.01185,                0.00539,                 2.5907,                 3.5614,                 3.5613,                 1.2473,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9767,                 4.3565,                  3.579,                 1.3799,                   0.03,                0.11538,                0.01739,                0.00778,                0.03333,                0.12821,                0.02043,                0.00828,                 2.3093,                  3.112,                 3.5306,                  1.101,                0.00014,                0.00014,                0.00014
                      3,                 2.4787,                 3.5408,                 3.4815,                 1.1415,                0.05333,                0.20513,                0.03552,                 0.0127,                  0.055,                0.21154,                0.03535,                0.01345,                 2.2418,                 2.7864,                 3.4787,                0.99742,             0.00021998,             0.00021998,             0.00021998
                      4,                 2.3949,                 3.3142,                 3.3624,                  1.086,                   0.11,                0.42308,                0.09214,                0.03622,                0.12333,                0.47436,                0.09895,                0.04508,                 2.0411,                 2.2695,                 3.4096,                 0.9438,             0.00029993,             0.00029993,             0.00029993
                      5,                 2.0958,                 2.6048,                 3.1328,                0.97975,                0.12667,                0.48718,                0.11043,                0.04643,                0.14667,                 0.5641,                0.13174,                0.06044,                 1.8902,                 2.2315,                 3.4236,                0.93208,             0.00037984,             0.00037984,             0.00037984
                      6,                 1.9727,                 2.3325,                 2.9723,                0.96525,                0.13333,                0.51282,                0.11781,                0.04586,                   0.13,                    0.5,                0.11288,                0.04197,                 1.9935,                 2.4228,                 3.4326,                0.94228,             0.00045969,             0.00045969,             0.00045969
                      7,                 2.0166,                  2.435,                 2.7191,                0.94171,                0.13333,                0.51282,                0.11781,                0.04586,                   0.13,                    0.5,                0.11288,                0.04197,                 1.9935,                 2.4228,                 3.4326,                0.94228,             0.00053947,             0.00053947,             0.00053947
                      8,                 1.9599,                  2.121,                 2.5002,                0.95231,                0.13667,                0.52564,                0.12658,                0.04426,                0.13667,                0.52564,                0.12576,                0.05397,                 1.9332,                 2.0381,                 3.4435,                0.94017,             0.00061918,             0.00061918,             0.00061918
                      9,                 2.0824,                 2.4358,                  2.533,                0.96978,                0.11333,                 0.4359,                 0.1055,                0.03777,                0.14167,                0.54487,                0.14166,                0.06682,                 1.8212,                  2.019,                 3.4552,                0.92449,             0.00069878,             0.00069878,             0.00069878
                     10,                 1.8892,                 2.0255,                 2.2344,                0.93964,                0.11333,                 0.4359,                 0.1055,                0.03777,                0.14167,                0.54487,                0.14166,                0.06682,                 1.8212,                  2.019,                 3.4552,                0.92449,             0.00077829,             0.00077829,             0.00077829
                     11,                 2.0159,                 2.3464,                 2.0111,                0.93967,                0.12667,                0.48718,                0.12966,                0.05848,                0.13333,                0.51282,                0.15608,                0.07191,                 1.8064,                 2.4724,                 3.3775,                0.90683,             0.00085767,             0.00085767,             0.00085767
                     12,                  1.904,                 2.2064,                 2.0261,                0.93301,                0.12667,                0.48718,                0.12966,                0.05848,                0.13333,                0.51282,                0.15608,                0.07191,                 1.8064,                 2.4724,                 3.3775,                0.90683,             0.00093692,             0.00093692,             0.00093692
                     13,                 1.8561,                 2.1214,                 1.8276,                0.94465,                  0.135,                0.51923,                0.15269,                0.06593,                0.13167,                0.50641,                0.13338,                0.05563,                 1.7238,                 2.1634,                 3.3541,                0.90677,               0.001016,               0.001016,               0.001016
