                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6175,                 3.5038,                 3.4946,                 1.2973,                   0.08,                0.30769,                0.05363,                0.01935,                0.09833,                0.37821,                0.07117,                0.02756,                 2.0826,                 2.4097,                 3.4551,                 1.0309,                0.00016,                0.00016,                0.00016
                      2,                 1.9034,                 2.3212,                 2.9011,                 0.9372,                0.14833,                0.57051,                 0.1269,                0.05708,                0.14833,                0.57051,                0.15279,                0.06444,                 1.6512,                 1.7099,                 3.4116,                0.94559,             0.00033888,             0.00033888,             0.00033888
                      3,                 1.7398,                 2.0211,                 1.9761,                0.90595,                0.17667,                0.67949,                0.15758,                0.07735,                0.15833,                0.60897,                0.13934,                0.06563,                 1.4983,                  1.714,                 3.3805,                0.90881,             0.00051657,             0.00051657,             0.00051657
                      4,                 1.7509,                 2.0161,                 1.4347,                 0.9023,                   0.18,                0.69231,                0.17893,                0.08199,                0.17667,                0.67949,                0.17245,                0.07599,                 1.5529,                 1.8135,                 3.3637,                0.91341,             0.00069307,             0.00069307,             0.00069307
                      5,                 1.6924,                 1.9234,                 1.1031,                0.90255,                0.17667,                0.67949,                0.18396,                0.07104,                   0.19,                0.73077,                0.22804,                0.09591,                 1.5056,                 1.6752,                 3.3952,                0.91265,             0.00086838,             0.00086838,             0.00086838
                      6,                  1.675,                  1.906,                 1.0982,                0.91755,                   0.16,                0.61538,                0.16454,                0.05768,                   0.18,                0.69231,                0.21912,                0.09085,                 1.7009,                 1.7501,                 3.3732,                0.93538,              0.0010425,              0.0010425,              0.0010425
                      7,                 1.6353,                 1.9824,                 1.0936,                0.91246,                   0.17,                0.65385,                0.16905,                0.07279,                0.17667,                0.67949,                0.18012,                0.07989,                 1.6277,                 1.9212,                 3.2705,                0.92351,              0.0012154,              0.0012154,              0.0012154
                      8,                 1.5883,                  2.114,                 1.0372,                0.92042,                0.14833,                0.57051,                0.14278,                  0.067,                  0.155,                0.59615,                0.15021,                0.06468,                 1.5739,                 1.7885,                 3.2116,                0.93149,              0.0013872,              0.0013872,              0.0013872
                      9,                 1.5571,                 1.8869,                  1.009,                0.93146,                0.16167,                0.62179,                 0.1615,                0.07697,                0.16167,                0.62179,                0.15842,                0.06497,                 1.3869,                 1.7264,                 3.1389,                0.90766,              0.0015578,              0.0015578,              0.0015578
                     10,                 1.6073,                 1.9482,                0.94329,                  0.901,                0.15333,                0.58974,                0.15055,                0.07344,                0.15167,                0.58333,                0.14383,                0.05523,                 1.5728,                 1.8777,                 3.0797,                0.92836,              0.0017271,              0.0017271,              0.0017271
