                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.229,                 2.8209,                 3.0069,                 1.0994,                0.13619,                0.49826,                0.12743,                0.04866,                0.14524,                0.53136,                0.19319,                0.07461,                 1.7322,                  1.924,                 3.4154,                0.93182,                0.00042,                0.00042,                0.00042
                      2,                 1.8627,                 2.1606,                 1.4352,                0.92438,                0.16905,                0.61847,                0.15766,                  0.072,                0.17857,                0.65331,                0.16158,                0.06688,                 1.5986,                 1.8322,                 3.3554,                 0.8905,             0.00085716,             0.00085716,             0.00085716
                      3,                   1.66,                 2.0476,                 1.0586,                0.92392,                0.14714,                0.53833,                0.13878,                0.06493,                0.15381,                0.56272,                0.14154,                 0.0608,                 1.5801,                 2.0356,                 3.2936,                0.89485,              0.0012914,              0.0012914,              0.0012914
                      4,                 1.7212,                 2.0941,                 1.0108,                0.93617,                0.10333,                0.37805,                0.09755,                0.03837,                0.11524,                 0.4216,                0.11652,                0.04498,                 1.7705,                 1.6871,                 3.3442,                0.92637,              0.0017228,              0.0017228,              0.0017228
                      5,                 1.7952,                 2.0742,                0.99278,                 0.9236,                0.17048,                0.62369,                0.30248,                0.17233,                0.17143,                0.62718,                0.32205,                0.14648,                 1.4924,                 1.9607,                  2.856,                0.90138,              0.0019736,              0.0019736,              0.0019736
                      6,                   1.72,                 2.0927,                0.95234,                0.92585,                0.23048,                0.84321,                0.69527,                0.35871,                0.21048,                0.77003,                0.60151,                0.23796,                 1.5657,                 1.9494,                 2.2025,                0.90537,               0.001967,               0.001967,               0.001967
                      7,                 1.5892,                 1.9401,                 0.9087,                0.91597,                0.90371,                0.45783,                0.77373,                0.43272,                 0.8631,                0.42836,                0.67444,                0.27348,                 1.4507,                 1.7866,                 1.6833,                0.88852,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.6523,                 1.9823,                 0.8801,                0.90592,                0.82645,                0.83449,                0.88523,                0.48564,                  0.734,                 0.7211,                0.74983,                0.30442,                 1.4461,                 1.6736,                 1.1135,                 0.8874,              0.0019538,              0.0019538,              0.0019538
                      9,                 1.5329,                 1.8665,                0.84512,                0.90367,                0.86051,                0.81682,                0.88938,                0.50572,                0.73754,                0.70009,                0.76328,                0.33262,                 1.3893,                 1.4989,                0.82345,                0.88519,              0.0019472,              0.0019472,              0.0019472
                     10,                  1.517,                 1.8297,                0.81687,                0.89717,                0.84001,                0.85985,                0.90269,                0.53516,                 0.7446,                0.73519,                0.78396,                 0.3564,                 1.3277,                 1.4919,                0.76692,                0.87531,              0.0019406,              0.0019406,              0.0019406
                     11,                 1.5131,                 1.8519,                0.81083,                0.90027,                 0.8409,                0.86934,                0.90065,                0.50448,                0.74473,                0.70732,                0.75837,                0.32272,                 1.4125,                 1.5406,                0.76128,                0.88268,               0.001934,               0.001934,               0.001934
                     12,                 1.4778,                 1.7883,                 0.7913,                0.89502,                0.88516,                0.83275,                0.90127,                0.54098,                0.77831,                0.70732,                0.77127,                0.35301,                 1.2983,                 1.4817,                0.70227,                0.86838,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.4947,                 1.8194,                0.77263,                0.89847,                0.87608,                0.82404,                 0.9001,                0.51223,                0.74505,                0.71429,                0.75545,                0.32221,                  1.385,                 1.6451,                0.71576,                0.88311,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.5259,                 1.8228,                0.79559,                0.88689,                0.85116,                0.85889,                 0.9076,                0.53787,                0.79147,                0.72076,                 0.7928,                0.35053,                 1.3041,                 1.5134,                0.71742,                0.86906,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.4578,                 1.7473,                0.77275,                0.88494,                0.87853,                0.85192,                0.91905,                0.54495,                0.78586,                0.72884,                0.80234,                0.34018,                 1.2731,                 1.3749,                0.67973,                0.86214,              0.0019076,              0.0019076,              0.0019076
